Date,FFRateMomChg,CPIMOM,GoldRtnMoM
30-06-1986,0,0.4,0.010462075
31-05-1986,0.13,0.3,-0.011490951
30-04-1986,-0.5,-0.4,0.051344005
31-03-1986,-0.5,-0.5,-0.029032258
28-02-1986,0,-0.2,-0.022362385
31-01-1986,0,0.4,0.05345817
31-12-1985,-0.25,0.5,0.025394859
30-11-1985,0,0.5,-0.011631466
31-10-1985,0,0.4,0.012081784
30-09-1985,0,0.2,-0.037567084
31-08-1985,0.25,0.2,0.025374503
31-07-1985,0,0.2,0.029587661
30-06-1985,0,0.3,0.004743833
31-05-1985,-0.5,0.2,-0.000947867
30-04-1985,-0.25,0.2,-0.039745146
31-03-1985,-0.5,0.5,0.141669553
28-02-1985,0.75,0.6,-0.050641236
31-01-1985,0,0.2,-0.018082015
31-12-1984,-0.75,0.2,-0.058948648
30-11-1984,-1,0.2,-0.020535714
31-10-1984,-1.75,0.4,-0.025804581
30-09-1984,0,0.3,-0.017938497
31-08-1984,0.75,0.3,0.03997631
31-07-1984,0.5,0.4,-0.102100505
30-06-1984,0,0.2,-0.027662875
31-05-1984,0,0.2,0.018967334
30-04-1984,0,0.4,-0.020387097
31-03-1984,1,0.3,-0.028578591
29-02-1984,0,0.5,0.067148208
31-01-1984,0,0.7,-0.036597938
31-12-1983,0,0.3,-0.037220844
30-11-1983,0,0.3,0.063885956
31-10-1983,0,0.4,-0.057476984
30-09-1983,-0.13,0.3,-0.037826191
31-08-1983,0,0.3,0.011870155
31-07-1983,0,0.4,-0.013620072
30-06-1983,0,0.2,0.015776699
31-05-1983,1.13,0.4,-0.049596309
30-04-1983,0,0.7,0.042317865
31-03-1983,0,0.1,-0.018409252
28-02-1983,0,0.1,-0.169378553
31-01-1983,0,0.2,0.126048565
31-12-1982,-0.5,-0.3,0.023497515
30-11-1982,-0.5,-0.1,0.046335697
31-10-1982,-0.5,0.4,0.061480552
30-09-1982,0.5,0,-0.032297232
31-08-1982,-2,0.2,0.201634082
31-07-1982,-1.5,0.5,0.078351164
30-06-1982,0,1.1,-0.013656114
31-05-1982,0,0.9,-0.07012987
30-04-1982,-2,0.3,0.058015267
31-03-1982,0,0,-0.101508916
28-02-1982,0,0.3,-0.05226209
31-01-1982,3,0.3,-0.045183714
31-12-1981,-1,0.3,-0.013470487
30-11-1981,-2.5,0.4,-0.053107607
31-10-1981,0,0.3,-0.003466605
30-09-1981,0,1,0.003711436
31-08-1981,0,0.8,0.07238806
31-07-1981,0,1.1,-0.058548009
30-06-1981,-4.5,0.9,-0.109303296
31-05-1981,4,0.7,-0.019631902
30-04-1981,0,0.6,-0.048267808
31-03-1981,0,0.7,0.056115108
28-02-1981,0,0.9,-0.03029699
31-01-1981,-2,0.9,-0.163135947
31-12-1980,0,0.9,-0.040185719
30-11-1980,4.25,1.1,-0.027102804
31-10-1980,1.75,1,-0.043931497
30-09-1980,2,0.8,0.046276098
31-08-1980,0.5,0.7,0.035662417
31-07-1980,0,0.1,-0.052446483
30-06-1980,-1.25,1,0.199559795
31-05-1980,-0.75,1,0.075345168
30-04-1980,-8.5,1,0.010967099
31-03-1980,5,1.4,-0.21640625
29-02-1980,1,1.3,-0.060895084
31-01-1980,0,1.4,0.259704251
31-12-1979,-1.5,1.2,0.29086137
30-11-1979,0,1.1,0.0865958
31-10-1979,4,1.1,-0.023544304
30-09-1979,0.12,0.9,0.233603998
31-08-1979,0.75,1,0.116068316
31-07-1979,0.38,1.1,0.010923185
30-06-1979,0,1.1,0.025289017
31-05-1979,0,1.1,0.110754414
30-04-1979,0.25,1,0.040501044
31-03-1979,0,1,-0.05298537
28-02-1979,0,1,0.087741935
31-01-1979,0,0.9,0.015283843
31-12-1978,0.12,0.6,0.185300207
30-11-1978,0.88,0.6,-0.216862586
31-10-1978,0.25,0.9,0.132170721
30-09-1978,0.5,0.9,0.049614644
31-08-1978,0.37,0.6,0.019646365
31-07-1978,0.13,0.8,0.108328797
30-06-1978,0.25,0.8,-0.003255562
31-05-1978,0.25,0.9,0.080304807
30-04-1978,0.5,0.8,-0.073329712
31-03-1978,0,0.6,-0.001626898
28-02-1978,0,0.5,0.04416761
31-01-1978,0.25,0.6,0.05307096
31-12-1977,0,0.5,0.046816479
30-11-1977,0,0.6,-0.015365704
31-10-1977,0.25,0.5,0.052393273
30-09-1977,0.25,0.3,0.053851397
31-08-1977,0.12,0.5,0.011026878
31-07-1977,0,0.5,0.010445682
30-06-1977,0,0.5,0.000696864
31-05-1977,0,0.3,-0.030405405
30-04-1977,0,0.7,-0.010033445
31-03-1977,0,0.5,0.033886584
28-02-1977,0,1,0.087218045
31-01-1977,0,0.5,-0.019896831
31-12-1976,1.13,0.5,0.031939163
30-11-1976,-0.25,0.3,0.062197092
31-10-1976,-0.13,0.5,0.070008643
30-09-1976,0,0.5,0.125486381
31-08-1976,0,0.5,-0.082961641
31-07-1976,-0.37,0.5,-0.095238095
30-06-1976,0,0.5,-0.016666667
31-05-1976,0.62,0.5,-0.022498061
30-04-1976,0.13,0.2,-0.001549187
31-03-1976,0,0.2,-0.026395173
29-02-1976,0,0.2,0.034321373
31-01-1976,-0.13,0.4,-0.090780142
31-12-1975,0,0.5,0.026948288
30-11-1975,0,0.7,-0.038515406
31-10-1975,-1.62,0.5,0.016370107
30-09-1975,0,0.7,-0.122971286
31-08-1975,0,0.4,-0.044152745
31-07-1975,0,0.9,-0.001191895
30-06-1975,1.25,0.8,0.007807808
31-05-1975,0,0.2,-0.001798561
30-04-1975,-0.25,0.4,-0.058159232
31-03-1975,-0.5,0.4,-0.032240437
28-02-1975,-1,0.6,0.042735043
